data_noise_seed,source_timestep,reverse_step,k_timestep,k_minus_1_timestep,d_k,d_k_minus_1,R_k,initial_zero_deviation,action_elements
0,36,2,34,32,0.00891614705324173,0.017683910205960274,1.9833578448605111,0,2048
0,36,3,32,30,0.017683910205960274,0.026308195665478706,1.4876910908043386,0,2048
0,36,4,30,28,0.026308195665478706,0.034771841019392014,1.3217113579437716,0,2048
0,36,5,28,26,0.034771841019392014,0.04306488856673241,1.2384989492353,0,2048
0,36,6,26,24,0.04306488856673241,0.05118232220411301,1.188493083492217,0,2048
0,36,7,24,22,0.05118232220411301,0.05911023169755936,1.1548954629427575,0,2048
0,36,8,22,20,0.05911023169755936,0.06685463339090347,1.1310162635098056,0,2048
0,36,9,20,18,0.06685463339090347,0.07439720630645752,1.1128204962300712,0,2048
0,36,10,18,16,0.07439720630645752,0.08175933361053467,1.0989570397664135,0,2048
0,36,11,16,14,0.08175933361053467,0.08892308175563812,1.0876199429185756,0,2048
0,36,12,14,12,0.08892308175563812,0.09588953852653503,1.0783425026694697,0,2048
0,36,13,12,10,0.09588953852653503,0.10272014886140823,1.071234155871047,0,2048
0,36,14,10,8,0.10272014886140823,0.10952933132648468,1.0662886740282786,0,2048
0,36,15,8,6,0.10952933132648468,0.1164461299777031,1.0631501951704396,0,2048
0,36,16,6,4,0.1164461299777031,0.1238616555929184,1.0636820271791902,0,2048
1,96,1,96,94,0.0,0.04581703245639801,45817032456.39801,1,2048
1,96,2,94,92,0.04581703245639801,0.07562848925590515,1.6506631966229304,0,2048
1,96,3,92,90,0.07562848925590515,0.09834820032119751,1.3004120707358697,0,2048
1,96,4,90,88,0.09834820032119751,0.11683109402656555,1.187933217321887,0,2048
1,96,5,88,86,0.11683109402656555,0.13232672214508057,1.1326327399952183,0,2048
1,96,6,86,84,0.13232672214508057,0.1458587944507599,1.10226258222992,0,2048
1,96,7,84,82,0.1458587944507599,0.15771633386611938,1.0812946484230073,0,2048
1,96,8,82,80,0.15771633386611938,0.16822032630443573,1.066600536417276,0,2048
1,96,9,80,78,0.16822032630443573,0.17766405642032623,1.0561390547878478,0,2048
1,96,10,78,76,0.17766405642032623,0.18612737953662872,1.0476366648706472,0,2048
1,96,11,76,74,0.18612737953662872,0.19372901320457458,1.0408410287934509,0,2048
1,96,12,74,72,0.19372901320457458,0.20067676901817322,1.03586326951052,0,2048
1,96,13,72,70,0.20067676901817322,0.20696121454238892,1.031316258249181,0,2048
1,96,14,70,68,0.20696121454238892,0.2126065343618393,1.0272771873266469,0,2048
1,96,15,68,66,0.2126065343618393,0.2177635133266449,1.02425597585352,0,2048
1,96,16,66,64,0.2177635133266449,0.22240322828292847,1.021306209127434,0,2048
1,76,1,76,74,0.0,0.01009109802544117,10091098025.44117,1,2048
1,76,2,74,72,0.01009109802544117,0.01970391720533371,1.9526038845034086,0,2048
1,76,3,72,70,0.01970391720533371,0.028848201036453247,1.4640845642195535,0,2048
1,76,4,70,68,0.028848201036453247,0.03754016011953354,1.3012998651387528,0,2048
1,76,5,68,66,0.03754016011953354,0.04589936137199402,1.2226735641142938,0,2048
1,76,6,66,64,0.04589936137199402,0.05389886721968651,1.174283598015357,0,2048
1,76,7,64,62,0.05389886721968651,0.06152528524398804,1.1414949592924746,0,2048
1,76,8,62,60,0.06152528524398804,0.0688355565071106,1.1188173485586248,0,2048
1,76,9,60,58,0.0688355565071106,0.07585771381855011,1.102013518400365,0,2048
1,76,10,58,56,0.07585771381855011,0.08260659128427505,1.08896758318843,0,2048
1,76,11,56,54,0.08260659128427505,0.08907130360603333,1.0782590374469383,0,2048
1,76,12,54,52,0.08907130360603333,0.09526742994785309,1.0695636651749925,0,2048
1,76,13,52,50,0.09526742994785309,0.10120858997106552,1.0623629715360443,0,2048
1,76,14,50,48,0.10120858997106552,0.10685165226459503,1.055756752406955,0,2048
1,76,15,48,46,0.10685165226459503,0.11225356161594391,1.050555225266163,0,2048
1,76,16,46,44,0.11225356161594391,0.11742037534713745,1.0460280605423002,0,2048
1,36,1,36,34,0.0,0.008896732702851295,8896732702.851295,1,2048
1,36,2,34,32,0.008896732702851295,0.017636001110076904,1.98230088473294,0,2048
1,36,3,32,30,0.017636001110076904,0.026199955493211746,1.4855950239624307,0,2048
1,36,4,30,28,0.026199955493211746,0.034601420164108276,1.3206671351694714,0,2048
1,36,5,28,26,0.034601420164108276,0.042807914316654205,1.237172177106802,0,2048
1,36,6,26,24,0.042807914316654205,0.05081991106271744,1.1871615768432577,0,2048
1,36,7,24,22,0.05081991106271744,0.05862017720937729,1.153488386390129,0,2048
1,36,8,22,20,0.05862017720937729,0.06620481610298157,1.1293861474588243,0,2048
1,36,9,20,18,0.06620481610298157,0.07357756793498993,1.111362771847726,0,2048
1,36,10,18,16,0.07357756793498993,0.08075906336307526,1.0976044143417867,0,2048
1,36,11,16,14,0.08075906336307526,0.08776834607124329,1.0867925210520213,0,2048
1,36,12,14,12,0.08776834607124329,0.09460251033306122,1.0778659342081327,0,2048
1,36,13,12,10,0.09460251033306122,0.10136085748672485,1.0714394060876238,0,2048
1,36,14,10,8,0.10136085748672485,0.10810927301645279,1.066578121929811,0,2048
1,36,15,8,6,0.10810927301645279,0.11491990834474564,1.0629976979513436,0,2048
1,36,16,6,4,0.11491990834474564,0.12217678129673004,1.0631472218821436,0,2048
2,96,1,96,94,0.0,0.04413377121090889,44133771210.90889,1,2048
2,96,2,94,92,0.04413377121090889,0.0730949193239212,1.6562128573367314,0,2048
2,96,3,92,90,0.0730949193239212,0.09515970200300217,1.3018647928182079,0,2048
2,96,4,90,88,0.09515970200300217,0.11290465295314789,1.1864754783321978,0,2048
2,96,5,88,86,0.11290465295314789,0.12751221656799316,1.1293796423055975,0,2048
2,96,6,86,84,0.12751221656799316,0.14009495079517365,1.0986786565612898,0,2048
2,96,7,84,82,0.14009495079517365,0.1510424017906189,1.0781430803339433,0,2048
2,96,8,82,80,0.1510424017906189,0.16074156761169434,1.0642148542728855,0,2048
2,96,9,80,78,0.16074156761169434,0.1694622039794922,1.0542525278079293,0,2048
2,96,10,78,76,0.1694622039794922,0.17729687690734863,1.04623256834166,0,2048
2,96,11,76,74,0.17729687690734863,0.18431803584098816,1.0396011427559946,0,2048
2,96,12,74,72,0.18431803584098816,0.19069737195968628,1.0346104823033542,0,2048
2,96,13,72,70,0.19069737195968628,0.19645118713378906,1.0301724932753082,0,2048
2,96,14,70,68,0.19645118713378906,0.2015814483165741,1.02611468658759,0,2048
2,96,15,68,66,0.2015814483165741,0.2062319666147232,1.0230701700774698,0,2048
2,96,16,66,64,0.2062319666147232,0.2103898525238037,1.0201612096141621,0,2048
2,76,1,76,74,0.0,0.009988423436880112,9988423436.880112,1,2048
2,76,2,74,72,0.009988423436880112,0.019470246508717537,1.9492812484178978,0,2048
2,76,3,72,70,0.019470246508717537,0.02848418429493904,1.4629596127980546,0,2048
2,76,4,70,68,0.02848418429493904,0.03699982538819313,1.2989603284327913,0,2048
2,76,5,68,66,0.03699982538819313,0.045143742114305496,1.2201068961663541,0,2048
2,76,6,66,64,0.045143742114305496,0.05291849002242088,1.1722220521120565,0,2048
2,76,7,64,62,0.05291849002242088,0.06031619757413864,1.1397943808949131,0,2048
2,76,8,62,60,0.06031619757413864,0.06737544387578964,1.1170373230483732,0,2048
2,76,9,60,58,0.06737544387578964,0.07413914799690247,1.100388268053294,0,2048
2,76,10,58,56,0.07413914799690247,0.0806092843413353,1.087270173965526,0,2048
2,76,11,56,54,0.0806092843413353,0.08678001165390015,1.076551074257882,0,2048
2,76,12,54,52,0.08678001165390015,0.09267997741699219,1.0679876120039549,0,2048
2,76,13,52,50,0.09267997741699219,0.09833484888076782,1.0610150284917725,0,2048
2,76,14,50,48,0.09833484888076782,0.10370521247386932,1.0546130253228794,0,2048
2,76,15,48,46,0.10370521247386932,0.10882920026779175,1.0494091634416554,0,2048
2,76,16,46,44,0.10882920026779175,0.11371582746505737,1.0449018019446654,0,2048
2,36,1,36,34,0.0,0.008910978212952614,8910978212.952614,1,2048
2,36,2,34,32,0.008910978212952614,0.017681676894426346,1.9842576729388435,0,2048
2,36,3,32,30,0.017681676894426346,0.02630908228456974,1.4879291393100287,0,2048
2,36,4,30,28,0.02630908228456974,0.0347885899245739,1.3223034367738127,0,2048
2,36,5,28,26,0.0347885899245739,0.04308623448014259,1.238516265600892,0,2048
2,36,6,26,24,0.04308623448014259,0.05122736841440201,1.1889497662373472,0,2048
2,36,7,24,22,0.05122736841440201,0.05919470265507698,1.1555288605705445,0,2048
2,36,8,22,20,0.05919470265507698,0.06698791682720184,1.1316539119455278,0,2048
2,36,9,20,18,0.06698791682720184,0.07459746301174164,1.1135958027035733,0,2048
2,36,10,18,16,0.07459746301174164,0.08202289044857025,1.099539945943742,0,2048
2,36,11,16,14,0.08202289044857025,0.08929124474525452,1.0886137303360826,0,2048
2,36,12,14,12,0.08929124474525452,0.09641601145267487,1.079792444675481,0,2048
2,36,13,12,10,0.09641601145267487,0.10344022512435913,1.0728531865691124,0,2048
2,36,14,10,8,0.10344022512435913,0.11049219965934753,1.0681743927513896,0,2048
2,36,15,8,6,0.11049219965934753,0.11774294078350067,1.0656221990823052,0,2048
2,36,16,6,4,0.11774294078350067,0.1256081610918045,1.0667999308909666,0,2048
3,96,1,96,94,0.0,0.0436197891831398,43619789183.1398,1,2048
3,96,2,94,92,0.0436197891831398,0.07248692214488983,1.661789832107812,0,2048
3,96,3,92,90,0.07248692214488983,0.0945708304643631,1.3046605879337294,0,2048
3,96,4,90,88,0.0945708304643631,0.11250223219394684,1.1896081660734825,0,2048
3,96,5,88,86,0.11250223219394684,0.12750372290611267,1.133343938324449,0,2048
3,96,6,86,84,0.12750372290611267,0.14057184755802155,1.1024921026065182,0,2048
3,96,7,84,82,0.14057184755802155,0.1519668698310852,1.0810619086960442,0,2048
3,96,8,82,80,0.1519668698310852,0.1619926244020462,1.0659732912906537,0,2048
3,96,9,80,78,0.1619926244020462,0.1709507703781128,1.0552997150831895,0,2048
3,96,10,78,76,0.1709507703781128,0.17890924215316772,1.0465541732067405,0,2048
3,96,11,76,74,0.17890924215316772,0.18597465753555298,1.0394916176286573,0,2048
3,96,12,74,72,0.18597465753555298,0.1923278570175171,1.0341616409736654,0,2048
3,96,13,72,70,0.1923278570175171,0.19799454510211945,1.0294636885755803,0,2048
3,96,14,70,68,0.19799454510211945,0.2030099630355835,1.0253310914694742,0,2048
3,96,15,68,66,0.2030099630355835,0.20748105645179749,1.022024009799008,0,2048
3,96,16,66,64,0.20748105645179749,0.21138624846935272,1.0188219208216904,0,2048
3,76,1,76,74,0.0,0.009643498808145523,9643498808.145523,1,2048
3,76,2,74,72,0.009643498808145523,0.018744032829999924,1.9436962871010885,0,2048
3,76,3,72,70,0.018744032829999924,0.027363283559679985,1.459839715732095,0,2048
3,76,4,70,68,0.027363283559679985,0.035507477819919586,1.2976321990443613,0,2048
3,76,5,68,66,0.035507477819919586,0.04325582832098007,1.2182174284284273,0,2048
3,76,6,66,64,0.04325582832098007,0.05059731751680374,1.1697225432877252,0,2048
3,76,7,64,62,0.05059731751680374,0.057568661868572235,1.1377809080158345,0,2048
3,76,8,62,60,0.057568661868572235,0.06419996172189713,1.115189404043276,0,2048
3,76,9,60,58,0.06419996172189713,0.07050319761037827,1.098181302890607,0,2048
3,76,10,58,56,0.07050319761037827,0.0764823630452156,1.0848070106946806,0,2048
3,76,11,56,54,0.0764823630452156,0.08214890211820602,1.0740894873837294,0,2048
3,76,12,54,52,0.08214890211820602,0.08753247559070587,1.0655343325670714,0,2048
3,76,13,52,50,0.08753247559070587,0.09263911843299866,1.0583399796106836,0,2048
3,76,14,50,48,0.09263911843299866,0.09744332730770111,1.0518593975732318,0,2048
3,76,15,48,46,0.09744332730770111,0.10197578370571136,1.0465137687945671,0,2048
3,76,16,46,44,0.10197578370571136,0.1062508225440979,1.0419220983844735,0,2048
3,36,1,36,34,0.0,0.008195464499294758,8195464499.294758,1,2048
3,36,2,34,32,0.008195464499294758,0.01623879373073578,1.9814366507416064,0,2048
3,36,3,32,30,0.01623879373073578,0.024137962609529495,1.4864381559546647,0,2048
3,36,4,30,28,0.024137962609529495,0.03188473358750343,1.3209372349261421,0,2048
3,36,5,28,26,0.03188473358750343,0.039460863918066025,1.2376099617873015,0,2048
3,36,6,26,24,0.039460863918066025,0.04686131700873375,1.1875390540066737,0,2048
3,36,7,24,22,0.04686131700873375,0.05408664047718048,1.1541852412288356,0,2048
3,36,8,22,20,0.05408664047718048,0.06113489344716072,1.1303141202091047,0,2048
3,36,9,20,18,0.06113489344716072,0.0680144876241684,1.1125313840914963,0,2048
3,36,10,18,16,0.0680144876241684,0.07471666485071182,1.0985404354213397,0,2048
3,36,11,16,14,0.07471666485071182,0.0812397301197052,1.0873040208759255,0,2048
3,36,12,14,12,0.0812397301197052,0.08758707344532013,1.0781310242560396,0,2048
3,36,13,12,10,0.08758707344532013,0.09379793703556061,1.070910733112312,0,2048
3,36,14,10,8,0.09379793703556061,0.09996739029884338,1.0657738694175976,0,2048
3,36,15,8,6,0.09996739029884338,0.10620991140604019,1.0624455743765333,0,2048
3,36,16,6,4,0.10620991140604019,0.11296378076076508,1.0635898219314135,0,2048
4,96,1,96,94,0.0,0.04617517441511154,46175174415.11154,1,2048
4,96,2,94,92,0.04617517441511154,0.0768851488828659,1.6650754405388661,0,2048
4,96,3,92,90,0.0768851488828659,0.1006511002779007,1.3091097791841824,0,2048
4,96,4,90,88,0.1006511002779007,0.1202094554901123,1.1943183448269923,0,2048
4,96,5,88,86,0.1202094554901123,0.13663193583488464,1.13661554556319,0,2048
4,96,6,86,84,0.13663193583488464,0.15106847882270813,1.1056600925581843,0,2048
4,96,7,84,82,0.15106847882270813,0.16368775069713593,1.0835334543095125,0,2048
4,96,8,82,80,0.16368775069713593,0.1748628169298172,1.0682706322496283,0,2048
4,96,9,80,78,0.1748628169298172,0.18500542640686035,1.0580032373609536,0,2048
4,96,10,78,76,0.18500542640686035,0.19416435062885284,1.049506246377881,0,2048
4,96,11,76,74,0.19416435062885284,0.20238208770751953,1.0423236142526113,0,2048
4,96,12,74,72,0.20238208770751953,0.2098601907491684,1.036950419502635,0,2048
4,96,13,72,70,0.2098601907491684,0.2166336476802826,1.0322760448558714,0,2048
4,96,14,70,68,0.2166336476802826,0.22268171608448029,1.027918416496849,0,2048
4,96,15,68,66,0.22268171608448029,0.22821460664272308,1.0248466315713092,0,2048
4,96,16,66,64,0.22821460664272308,0.2332146018743515,1.0219091814681,0,2048
4,76,1,76,74,0.0,0.011323542334139347,11323542334.139347,1,2048
4,76,2,74,72,0.011323542334139347,0.022064246237277985,1.9485286127122925,0,2048
4,76,3,72,70,0.022064246237277985,0.03229277953505516,1.4635795479399738,0,2048
4,76,4,70,68,0.03229277953505516,0.04196925088763237,1.299648140872276,0,2048
4,76,5,68,66,0.04196925088763237,0.0512741394340992,1.221707282080346,0,2048
4,76,6,66,64,0.0512741394340992,0.06017003208398819,1.1734966738963815,0,2048
4,76,7,64,62,0.06017003208398819,0.06866316497325897,1.1411522080672072,0,2048
4,76,8,62,60,0.06866316497325897,0.07679625600576401,1.1184491136485484,0,2048
4,76,9,60,58,0.07679625600576401,0.08457589149475098,1.1013022755601751,0,2048
4,76,10,58,56,0.08457589149475098,0.09197647869586945,1.0875023256537621,0,2048
4,76,11,56,54,0.09197647869586945,0.09904523193836212,1.076853923325217,0,2048
4,76,12,54,52,0.09904523193836212,0.10574968159198761,1.067690786536096,0,2048
4,76,13,52,50,0.10574968159198761,0.11215943098068237,1.060612469854659,0,2048
4,76,14,50,48,0.11215943098068237,0.1181899830698967,1.0537676772736053,0,2048
4,76,15,48,46,0.1181899830698967,0.12391335517168045,1.048425187584218,0,2048
4,76,16,46,44,0.12391335517168045,0.12933513522148132,1.0437546061217156,0,2048
4,36,1,36,34,0.0,0.009627297520637512,9627297520.637512,1,2048
4,36,2,34,32,0.009627297520637512,0.019041819497942924,1.9778987254882396,0,2048
4,36,3,32,30,0.019041819497942924,0.028263429179787636,1.4842819606265376,0,2048
4,36,4,30,28,0.028263429179787636,0.03727668523788452,1.3189017156921548,0,2048
4,36,5,28,26,0.03727668523788452,0.046071432530879974,1.2359315812453562,0,2048
4,36,6,26,24,0.046071432530879974,0.054632801562547684,1.1858281490323426,0,2048
4,36,7,24,22,0.054632801562547684,0.06293773651123047,1.1520137117263274,0,2048
4,36,8,22,20,0.06293773651123047,0.07100029289722443,1.1281036915496188,0,2048
4,36,9,20,18,0.07100029289722443,0.07880685478448868,1.1099511222785319,0,2048
4,36,10,18,16,0.07880685478448868,0.08636261522769928,1.0958769444964818,0,2048
4,36,11,16,14,0.08636261522769928,0.09362383186817169,1.0840782394123172,0,2048
4,36,12,14,12,0.09362383186817169,0.10063040256500244,1.074837469861537,0,2048
4,36,13,12,10,0.10063040256500244,0.1074419617652893,1.067688879559229,0,2048
4,36,14,10,8,0.1074419617652893,0.11417921632528305,1.0627059898035816,0,2048
4,36,15,8,6,0.11417921632528305,0.12099502235651016,1.0596939289787206,0,2048
4,36,16,6,4,0.12099502235651016,0.1284203976392746,1.0613692624463864,0,2048
