seed,source_timestep,target_timestep,depth,execution_steps,state_gap,prediction_gap,proxy_reference_reconstruction_error,self_reconstruction_error,action_rmse_before_clip,action_rmse,reference_cumulative_reward,self_cumulative_reward,cumulative_reward_drop,reference_final_reward,self_final_reward,final_reward_drop,reference_success,self_success,final_agent_distance,final_block_pose_distance,reference_steps,self_steps
10,90,74,16,14,0.00011600150901358575,0.0001285233156522736,0.0007596531650051475,0.0008027754374779761,0.3579736649990082,0.3579736718568172,3.15084416463071,3.147631709204333,0.0032124554263770477,0.32904086223374523,0.3286821535333392,0.00035870870040605185,0,0,0.44618126558601706,0.141134796001496,14,14
11,90,74,16,14,0.00017531141929794103,0.0001914377062348649,0.0009855387033894658,0.0010569706792011857,0.7115178108215332,0.7115177778324033,1.6850314789144014,1.6827766454055548,0.0022548335088465876,0.29360150484634456,0.2952545226662033,-0.0016530178198587153,0,0,0.10003491466518073,0.19091989585263822,14,14
12,90,74,16,14,0.0001303132885368541,0.00014713031123392284,0.0008106233435682952,0.0008380210492759943,0.22304590046405792,0.22304590790844106,0.06917989878026554,0.06975320937771869,-0.0005733105974531499,0.04901182398247338,0.04936313637080224,-0.00035131238832885464,0,0,0.05140178260515757,0.08443431782128595,14,14
13,90,74,16,14,0.01301480457186699,0.015148419886827469,0.0019520556088536978,0.002160326112061739,1.563629388809204,1.5636294077279687,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.690551864154462,1.3746045305423187,14,14
14,90,74,16,14,0.0002713027352001518,0.00029318660381250083,0.002062672283500433,0.0022121055517345667,0.4804799258708954,0.48047991575512533,0.6996129721562258,0.7101226658822599,-0.010509693726034164,0.15334480377806817,0.1533033053374856,4.149844058257135e-05,0,0,0.436694050387141,0.39700259516793174,14,14
15,90,74,16,14,0.00017998904513660818,0.00020346607198007405,0.0014217491261661053,0.0014646627241745591,0.47105640172958374,0.47105638800583055,3.264602293429631,3.2754662439683364,-0.010863950538705591,0.311269987801177,0.31347202108843486,-0.0022020332872578763,0,0,0.6582718560688188,0.06707867127537191,14,14
16,90,74,16,14,0.0006734124035574496,0.0006589064723812044,0.008147459477186203,0.00898765493184328,4.533407211303711,4.533407100753813,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.08307334927282,0.0,14,14
17,90,74,16,14,0.00015975850692484528,0.0001663121656747535,0.0010746532352641225,0.0012177061289548874,0.7942507863044739,0.7942507555405514,2.7039070961319,2.662789051600704,0.04111804453119605,0.23495148194248897,0.230312005191501,0.00463947675098797,0,0,1.2712447986669593,0.9572182458024785,14,14
18,90,74,16,14,0.0003108356904704124,0.0003271438181400299,0.0026689255610108376,0.0029153970535844564,1.2277531623840332,1.2277532165514493,4.132662678355136,4.13065319706228,0.0020094812928563854,0.2951901913110812,0.29504665693301996,0.0001435343780612497,0,0,1.4545237899597763,0.001450993126247093,14,14
19,90,74,16,14,0.00019817837164737284,0.00020445033442229033,0.001392664504237473,0.0015630945563316345,0.7318372130393982,0.7318371881211384,8.99321996574475,9.006624931559012,-0.013404965814261871,0.7484930217805995,0.7455212595809921,0.002971762199607375,0,0,0.8378042780084886,0.18987938119802963,14,14
