seed,source_timestep,target_timestep,total_depth,reset_depth,oracle_error,free_error,reset_error,free_minus_oracle,reset_minus_oracle,reset_gain,pre_reset_state_gap,recovery_ratio
4,90,58,16,4,0.0007212774362415075,0.0009278689394704998,0.0008465620339848101,0.00020659150322899222,0.00012528459774330258,8.130690548568964e-05,0.00010917904000962153,0.39356364717268466
4,90,58,16,8,0.0007212774362415075,0.0009278689394704998,0.0007947892881929874,0.00020659150322899222,7.351185195147991e-05,0.0001330796512775123,0.0002979654527734965,0.6441680766028545
4,90,58,16,12,0.0007212774362415075,0.0009278689394704998,0.0007552399765700102,0.00020659150322899222,3.3962540328502655e-05,0.00017262896290048957,0.000487871584482491,0.8356053380818012
4,50,42,4,1,0.00044624030124396086,0.000481117342133075,0.00047260141582228243,3.487704088911414e-05,2.6361114578321576e-05,8.515926310792565e-06,1.3886177612221218e-06,0.24416997812020702
4,50,42,4,2,0.00044624030124396086,0.000481117342133075,0.00046400792780332267,3.487704088911414e-05,1.7767626559361815e-05,1.7109414329752326e-05,5.333805347618181e-06,0.49056381773181146
4,50,42,4,3,0.00044624030124396086,0.000481117342133075,0.00045527933980338275,3.487704088911414e-05,9.039038559421897e-06,2.5838002329692245e-05,1.1527184142323676e-05,0.7408312652395012
4,50,34,8,2,0.000356703472789377,0.00043441526941023767,0.0004154773778282106,7.77117966208607e-05,5.877390503883362e-05,1.8937891582027078e-05,5.333805347618181e-06,0.2436939101333742
4,50,34,8,4,0.000356703472789377,0.00043441526941023767,0.000396143615944311,7.77117966208607e-05,3.944014315493405e-05,3.827165346592665e-05,1.962225178431254e-05,0.4924819027495387
4,50,34,8,6,0.000356703472789377,0.00043441526941023767,0.0003766596782952547,7.77117966208607e-05,1.9956205505877733e-05,5.775559111498296e-05,4.066458495799452e-05,0.7432023660031976
4,50,18,16,4,0.00020581803983077407,0.0003737754886969924,0.0003358276735525578,0.00016795744886621833,0.00013000963372178376,3.794781514443457e-05,1.962225178431254e-05,0.22593707751932343
4,50,18,16,8,0.00020581803983077407,0.0003737754886969924,0.00029675164842046797,0.00016795744886621833,9.09336085896939e-05,7.702384027652442e-05,6.664946704404429e-05,0.4585913920249857
4,50,18,16,12,0.00020581803983077407,0.0003737754886969924,0.0002544249000493437,0.00016795744886621833,4.8606860218569636e-05,0.00011935058864764869,0.00012739353405777365,0.7106001517248215
4,40,32,4,1,0.00033562100725248456,0.0003759674436878413,0.00036593759432435036,4.0346436435356736e-05,3.0316587071865797e-05,1.0029849363490939e-05,1.3073703257759917e-06,0.24859319061699078
4,40,32,4,2,0.00033562100725248456,0.0003759674436878413,0.0003559297474566847,4.0346436435356736e-05,2.030874020420015e-05,2.0037696231156588e-05,5.0807566367438994e-06,0.4966410419730894
4,40,32,4,3,0.00033562100725248456,0.0003759674436878413,0.00034589486313052475,4.0346436435356736e-05,1.0273855878040195e-05,3.007258055731654e-05,1.107741627492942e-05,0.7453590258336441
4,40,24,8,2,0.0002580352302175015,0.0003415528917685151,0.0003215319011360407,8.351766155101359e-05,6.349667091853917e-05,2.0020990632474422e-05,5.0807566367438994e-06,0.23972163804233626
4,40,24,8,4,0.0002580352302175015,0.0003415528917685151,0.0003011944645550102,8.351766155101359e-05,4.315923433750868e-05,4.035842721350491e-05,1.905294084281195e-05,0.48323224649738905
4,40,24,8,6,0.0002580352302175015,0.0003415528917685151,0.0002800767542794347,8.351766155101359e-05,2.204152406193316e-05,6.147613748908043e-05,4.0132472349796444e-05,0.7360854739872005
4,40,8,16,4,0.0001150273674284108,0.00032836027094163,0.0002873844641726464,0.0002133329035132192,0.0001723570967442356,4.09758067689836e-05,1.905294084281195e-05,0.19207448121777676
4,40,8,16,8,0.0001150273674284108,0.00032836027094163,0.00024052862136159092,0.0002133329035132192,0.00012550125393318012,8.783164958003908e-05,6.687351560685784e-05,0.41171168691564064
4,40,8,16,12,0.0001150273674284108,0.00032836027094163,0.00018456223187968135,0.0002133329035132192,6.953486445127055e-05,0.00014379803906194866,0.0001317322312388569,0.6740546661759478
