data_noise_seed,source_timestep,target_timestep,total_depth,reset_depth,reset_timestep,E_q,E_free,E_reset,reset_gain,reset_recovery_fraction,pre_reset_d_action_l2,action_elements
1,95,87,8,6,89,0.008332842029631138,0.009047373197972775,0.00845201313495636,0.0005953600630164146,0.8332177648711846,0.07737608253955841,2048
1,95,79,16,4,91,0.004187188111245632,0.004871212411671877,0.0046133617870509624,0.00025785062462091446,0.3769612051212753,0.05785219371318817,2048
1,95,79,16,8,87,0.004187188111245632,0.004871212411671877,0.004435935989022255,0.00043527642264962196,0.6363464315206092,0.09373076260089874,2048
1,95,79,16,12,83,0.004187188111245632,0.004871212411671877,0.004299556836485863,0.0005716555751860142,0.8357240741736678,0.1205744668841362,2048
1,65,61,4,1,64,0.0019385535269975662,0.001994251273572445,0.00197957968339324,1.467159017920494e-05,0.263414430231586,0.0042886147275567055,2048
1,65,61,4,2,63,0.0019385535269975662,0.001994251273572445,0.0019673078786581755,2.6943394914269447e-05,0.4837429980770839,0.008501295000314713,2048
1,65,61,4,3,62,0.0019385535269975662,0.001994251273572445,0.001952182617969811,4.206865560263395e-05,0.7553026502800769,0.012646443210542202,2048
1,65,57,8,2,63,0.0017352174036204815,0.001849051215685904,0.0018204428488388658,2.860836684703827e-05,0.2513169534425894,0.008501295000314713,2048
1,65,57,8,4,61,0.0017352174036204815,0.001849051215685904,0.0017900217790156603,5.902943667024374e-05,0.5185580241863319,0.0167328342795372,2048
1,65,57,8,6,59,0.0017352174036204815,0.001849051215685904,0.0017628283239901066,8.622289169579744e-05,0.7574453506506788,0.024735543876886368,2048
1,65,49,16,4,61,0.001403323607519269,0.0016434445278719068,0.0015802925918251276,6.315193604677916e-05,0.26300055802732736,0.0167328342795372,2048
1,65,49,16,8,57,0.001403323607519269,0.0016434445278719068,0.0015205068048089743,0.0001229377230629325,0.5119825581310787,0.032517626881599426,2048
1,65,49,16,12,53,0.001403323607519269,0.0016434445278719068,0.001460867002606392,0.00018257752526551485,0.760356594491577,0.04739869385957718,2048
1,35,31,4,1,34,0.0008636839338578284,0.0009291551541537046,0.0009124266216531396,1.6728532500565052e-05,0.25550970983839605,0.004493077285587788,2048
1,35,31,4,2,33,0.0008636839338578284,0.0009291551541537046,0.000896782148629427,3.237300552427769e-05,0.4944616180663539,0.00894955825060606,2048
1,35,31,4,3,32,0.0008636839338578284,0.0009291551541537046,0.0008800255600363016,4.912959411740303e-05,0.7503998534833707,0.013366321101784706,2048
1,35,27,8,2,33,0.0007630990003235638,0.0008951691561378539,0.0008615412516519427,3.362790448591113e-05,0.2546215250415611,0.00894955825060606,2048
1,35,27,8,4,31,0.0007630990003235638,0.0008951691561378539,0.0008282043854705989,6.696477066725492e-05,0.5070393856536157,0.017740709707140923,2048
1,35,27,8,6,29,0.0007630990003235638,0.0008951691561378539,0.0007952282903715968,9.994086576625705e-05,0.7567255838388539,0.026371676474809647,2048
1,35,19,16,4,31,0.0005816152552142739,0.0008507637539878488,0.0007815994322299957,6.916432175785303e-05,0.2569745775028028,0.017740709707140923,2048
1,35,19,16,8,27,0.0005816152552142739,0.0008507637539878488,0.0007143676048144698,0.00013639614917337894,0.5067691248321776,0.0348331555724144,2048
1,35,19,16,12,23,0.0005816152552142739,0.0008507637539878488,0.0006481832824647427,0.0002025804715231061,0.7526717497820039,0.05117402598261833,2048
2,95,91,4,1,94,0.014006821438670158,0.01466776616871357,0.014456668868660927,0.00021109730005264282,0.31938722022759425,0.018519066274166107,2048
2,95,91,4,2,93,0.014006821438670158,0.01466776616871357,0.01428131852298975,0.00038644764572381973,0.5846898056036207,0.033921971917152405,2048
2,95,91,4,3,92,0.014006821438670158,0.01466776616871357,0.014135722070932388,0.0005320440977811813,0.8049751720484046,0.047134265303611755,2048
2,95,87,8,2,93,0.00751321017742157,0.008101271465420723,0.007904322817921638,0.00019694864749908447,0.3349117711339096,0.033921971917152405,2048
2,95,87,8,4,91,0.00751321017742157,0.008101271465420723,0.007744911126792431,0.0003563603386282921,0.6059918343558865,0.058692172169685364,2048
2,95,87,8,6,89,0.00751321017742157,0.008101271465420723,0.007614985574036837,0.00048628589138388634,0.8269306300342399,0.07822152972221375,2048
2,95,79,16,4,91,0.004049394745379686,0.004529894795268774,0.00434535089880228,0.0001845438964664936,0.38406634194750094,0.058692172169685364,2048
2,95,79,16,8,87,0.004049394745379686,0.004529894795268774,0.004221550188958645,0.00030834460631012917,0.6417160755369399,0.0940154641866684,2048
2,95,79,16,12,83,0.004049394745379686,0.004529894795268774,0.004127786960452795,0.000402107834815979,0.8368528471720165,0.11896210163831711,2048
2,65,61,4,1,64,0.0020888084545731544,0.002138755051419139,0.002124990336596966,1.3764714822173119e-05,0.2755886424978673,0.004217827692627907,2048
2,65,61,4,2,63,0.0020888084545731544,0.002138755051419139,0.002112769987434149,2.598506398499012e-05,0.5202569469371011,0.008357075043022633,2048
2,65,61,4,3,62,0.0020888084545731544,0.002138755051419139,0.0021009889896959066,3.776606172323227e-05,0.7561288277495234,0.012422710657119751,2048
2,65,57,8,2,63,0.00192503840662539,0.0020301099866628647,0.002005488146096468,2.4621840566396713e-05,0.23433397078082516,0.008357075043022633,2048
2,65,57,8,4,61,0.00192503840662539,0.0020301099866628647,0.00197904696688056,5.1063019782304764e-05,0.48598317227258525,0.016428425908088684,2048
2,65,57,8,6,59,0.00192503840662539,0.0020301099866628647,0.0019521366339176893,7.797335274517536e-05,0.7420974607726041,0.024264002218842506,2048
2,65,49,16,4,61,0.0016443041386082768,0.0018879411509260535,0.00183215388096869,5.5787269957363605e-05,0.22897699092041096,0.016428425908088684,2048
2,65,49,16,8,57,0.0016443041386082768,0.0018879411509260535,0.0017730805557221174,0.0001148605952039361,0.4714414862965196,0.031876854598522186,2048
2,65,49,16,12,53,0.0016443041386082768,0.0018879411509260535,0.0017092403722926974,0.0001787007786333561,0.7334713922705471,0.0463782399892807,2048
2,35,31,4,1,34,0.0010608159936964512,0.0011544832959771156,0.001131230965256691,2.3252330720424652e-05,0.24824383914411705,0.004505225457251072,2048
2,35,31,4,2,33,0.0010608159936964512,0.0011544832959771156,0.0011080570984631777,4.642619751393795e-05,0.49564999080283767,0.008978405967354774,2048
2,35,31,4,3,32,0.0010608159936964512,0.0011544832959771156,0.0010841584298759699,7.032486610114574e-05,0.7507941873934247,0.013419972732663155,2048
2,35,27,8,2,33,0.0009334288188256323,0.001129257958382368,0.0010817341972142458,4.752376116812229e-05,0.24267972210720803,0.008978405967354774,2048
2,35,27,8,4,31,0.0009334288188256323,0.001129257958382368,0.001033001346513629,9.625661186873913e-05,0.49153365064371124,0.017828190699219704,2048
2,35,27,8,6,29,0.0009334288188256323,0.001129257958382368,0.0009837322868406773,0.00014552567154169083,0.7431257261870827,0.026535701006650925,2048
2,35,19,16,4,31,0.0006846018368378282,0.001108272117562592,0.0010069652926176786,0.00010130682494491339,0.23911713791113676,0.017828190699219704,2048
2,35,19,16,8,27,0.0006846018368378282,0.001108272117562592,0.0009015684481710196,0.00020670366939157248,0.4878880553952683,0.03508462384343147,2048
2,35,19,16,12,23,0.0006846018368378282,0.001108272117562592,0.0007936639012768865,0.00031460821628570557,0.7425779682906053,0.05170343071222305,2048
3,95,91,4,1,94,0.014217973686754704,0.014840647578239441,0.014670474454760551,0.00017017312347888947,0.27329413647506473,0.017588241025805473,2048
3,95,91,4,2,93,0.014217973686754704,0.014840647578239441,0.014500344172120094,0.0003403034061193466,0.5465194715453843,0.032287757843732834,2048
3,95,91,4,3,92,0.014217973686754704,0.014840647578239441,0.014338692650198936,0.0005019549280405045,0.806128111207001,0.04503055289387703,2048
3,95,87,8,2,93,0.007785968482494354,0.00842333771288395,0.008206442929804325,0.00021689478307962418,0.3402969154112541,0.032287757843732834,2048
3,95,87,8,4,91,0.007785968482494354,0.00842333771288395,0.008030112832784653,0.00039322488009929657,0.6169498955243509,0.05627153068780899,2048
3,95,87,8,6,89,0.007785968482494354,0.00842333771288395,0.007900238037109375,0.0005230996757745743,0.8207168636848489,0.07545493543148041,2048
3,95,79,16,4,91,0.0037771391216665506,0.0043242922984063625,0.004107198677957058,0.00021709362044930458,0.3967693685758115,0.05627153068780899,2048
3,95,79,16,8,87,0.0037771391216665506,0.0043242922984063625,0.003967110067605972,0.00035718223080039024,0.6528011642528421,0.0913967713713646,2048
3,95,79,16,12,83,0.0037771391216665506,0.0043242922984063625,0.0038615232333540916,0.0004627690650522709,0.8457760728168664,0.11741410940885544,2048
3,65,61,4,1,64,0.0016530631110072136,0.0016810873057693243,0.0016732339281588793,7.853377610445023e-06,0.2802356205810756,0.003978254273533821,2048
3,65,61,4,2,63,0.0016530631110072136,0.0016810873057693243,0.0016666161827743053,1.4471122995018959e-05,0.5163796183212449,0.0078801941126585,2048
3,65,61,4,3,62,0.0016530631110072136,0.0016810873057693243,0.0016588608268648386,2.2226478904485703e-05,0.7931174862706978,0.011711210012435913,2048
3,65,57,8,2,63,0.0014704355271533132,0.0015235019382089376,0.0015106549253687263,1.2847012840211391e-05,0.24209311661844035,0.0078801941126585,2048
3,65,57,8,4,61,0.0014704355271533132,0.0015235019382089376,0.0014963410794734955,2.716085873544216e-05,0.511827692793696,0.015476806089282036,2048
3,65,57,8,6,59,0.0014704355271533132,0.0015235019382089376,0.0014839426148682833,3.955932334065437e-05,0.7454682265809928,0.022808991372585297,2048
3,65,49,16,4,61,0.0012182299979031086,0.0013211192563176155,0.0012953255791217089,2.579367719590664e-05,0.25069358641883116,0.015476806089282036,2048
3,65,49,16,8,57,0.0012182299979031086,0.0013211192563176155,0.0012700529769062996,5.106627941131592e-05,0.49632274737161297,0.029881246387958527,2048
3,65,49,16,12,53,0.0012182299979031086,0.0013211192563176155,0.0012447233311831951,7.63959251344204e-05,0.7425063248745208,0.04326464980840683,2048
